Patent_Year,country,Country_Code,edu_enroll
2000,Canada,CA,101.9231262
2000,China,CN,60.25989914
2000,Germany,DE,99.93065643
2000,France,FR,105.5902176
2000,Italy,IT,93.0541687
2000,Japan,JP,
2000,South Korea,KR,95.9592514
2000,Sweden,SE,151.8511658
2000,United Kingdom,GB,101.8960114
2000,United States,US,
2001,Canada,CA,100.3249727
2001,China,CN,60.08422089
2001,Germany,DE,100.5015106
2001,France,FR,104.5711136
2001,Italy,IT,96.09915924
2001,Japan,JP,
2001,South Korea,KR,95.61708832
2001,Sweden,SE,147.6332245
2001,United Kingdom,GB,101.7868271
2001,United States,US,
2002,Canada,CA,100.5880586
2002,China,CN,60.28450012
2002,Germany,DE,101.473671
2002,France,FR,103.1863403
2002,Italy,IT,98.14539337
2002,Japan,JP,
2002,South Korea,KR,95.80931091
2002,Sweden,SE,143.9295502
2002,United Kingdom,GB,102.7432785
2002,United States,US,
2003,Canada,CA,100.8807883
2003,China,CN,62.14112854
2003,Germany,DE,101.8206711
2003,France,FR,102.7721024
2003,Italy,IT,99.12857056
2003,Japan,JP,
2003,South Korea,KR,96.493927
2003,Sweden,SE,137.0249329
2003,United Kingdom,GB,102.0994034
2003,United States,US,
2004,Canada,CA,101.1897308
2004,China,CN,60.69243717
2004,Germany,DE,102.1401978
2004,France,FR,102.2200165
2004,Italy,IT,99.01792908
2004,Japan,JP,
2004,South Korea,KR,97.19229889
2004,Sweden,SE,103.2928085
2004,United Kingdom,GB,104.6890411
2004,United States,US,
2005,Canada,CA,101.3911896
2005,China,CN,60.69243717
2005,Germany,DE,102.2795868
2005,France,FR,106.7816772
2005,Italy,IT,99.28780365
2005,Japan,JP,
2005,South Korea,KR,97.06839752
2005,Sweden,SE,104.0597076
2005,United Kingdom,GB,105.4219666
2005,United States,US,95.0524826
2006,Canada,CA,101.7282486
2006,China,CN,71.32845306
2006,Germany,DE,103.0582886
2006,France,FR,106.9275208
2006,Italy,IT,100.0531235
2006,Japan,JP,
2006,South Korea,KR,95.80760193
2006,Sweden,SE,103.5690536
2006,United Kingdom,GB,98.24421692
2006,United States,US,
2007,Canada,CA,101.9034882
2007,China,CN,76.78765869
2007,Germany,DE,102.2422867
2007,France,FR,106.6935272
2007,Italy,IT,100.4699783
2007,Japan,JP,
2007,South Korea,KR,95.24726105
2007,Sweden,SE,102.3869019
2007,United Kingdom,GB,97.19419861
2007,United States,US,
2008,Canada,CA,102.3444366
2008,China,CN,81.71283722
2008,Germany,DE,103.3083191
2008,France,FR,106.4328384
2008,Italy,IT,101.1009674
2008,Japan,JP,
2008,South Korea,KR,95.04554749
2008,Sweden,SE,101.3034973
2008,United Kingdom,GB,98.33966064
2008,United States,US,
2009,Canada,CA,102.7344437
2009,China,CN,85.45140839
2009,Germany,DE,103.1582489
2009,France,FR,106.2392273
2009,Italy,IT,101.4165497
2009,Japan,JP,
2009,South Korea,KR,95.97579193
2009,Sweden,SE,99.48973083
2009,United Kingdom,GB,100.1697693
2009,United States,US,
2010,Canada,CA,102.3984833
2010,China,CN,88.17340088
2010,Germany,DE,103.9748383
2010,France,FR,106.424942
2010,Italy,IT,102.9038162
2010,Japan,JP,
2010,South Korea,KR,96.36495972
2010,Sweden,SE,98.12030792
2010,United Kingdom,GB,102.9046783
2010,United States,US,
2011,Canada,CA,103.3489609
2011,China,CN,91.89229693
2011,Germany,DE,103.7624207
2011,France,FR,106.6106415
2011,Italy,IT,103.3315735
2011,Japan,JP,
2011,South Korea,KR,96.8976593
2011,Sweden,SE,96.97975159
2011,United Kingdom,GB,93.76583099
2011,United States,US,
2012,Canada,CA,109.9874878
2012,China,CN,95.66845649
2012,Germany,DE,102.1676102
2012,France,FR,105.8135834
2012,Italy,IT,102.0333405
2012,Japan,JP,
2012,South Korea,KR,97.80175781
2012,Sweden,SE,98.14225006
2012,United Kingdom,GB,91.55275726
2012,United States,US,
2013,Canada,CA,109.4859924
2013,China,CN,99.1573613
2013,Germany,DE,100.8108902
2013,France,FR,104.3766022
2013,Italy,IT,102.408989
2013,Japan,JP,
2013,South Korea,KR,99.36505127
2013,Sweden,SE,128.5563812
2013,United Kingdom,GB,123.7762909
2013,United States,US,96.18649292
2014,Canada,CA,109.3330994
2014,China,CN,102.5838495
2014,Germany,DE,99.71071625
2014,France,FR,103.425827
2014,Italy,IT,102.2810593
2014,Japan,JP,
2014,South Korea,KR,99.86733246
2014,Sweden,SE,132.9421234
2014,United Kingdom,GB,126.3899002
2014,United States,US,96.92453766
