Patent_Year,country,Country_Code,gdp_per_capita
2000,Canada,CA,34121.60919
2000,China,CN,2193.892991
2000,Germany,DE,34476.20803
2000,France,FR,33583.85744
2000,Italy,IT,32337.89674
2000,Japan,JP,31430.63113
2000,South Korea,KR,16992.47908
2000,Sweden,SE,41117.15243
2000,United Kingdom,GB,38450.22085
2000,United States,US,48689.03129
2001,Canada,CA,34227.34175
2001,China,CN,2359.568217
2001,Germany,DE,34996.99124
2001,France,FR,34001.70404
2001,Italy,IT,32950.4166
2001,Japan,JP,31476.05207
2001,South Korea,KR,17680.84549
2001,Sweden,SE,41601.30768
2001,United Kingdom,GB,39348.26761
2001,United States,US,48690.80794
2002,Canada,CA,35015.79497
2002,China,CN,2557.887094
2002,Germany,DE,34869.03232
2002,France,FR,34138.63394
2002,Italy,IT,32984.9353
2002,Japan,JP,31416.12418
2002,South Korea,KR,18936.95165
2002,Sweden,SE,42377.11964
2002,United Kingdom,GB,40035.72047
2002,United States,US,49081.35879
2003,Canada,CA,36024.09924
2003,China,CN,2797.171718
2003,Germany,DE,34605.74422
2003,France,FR,34176.55573
2003,Italy,IT,32884.16342
2003,Japan,JP,31830.21758
2003,South Korea,KR,19431.97111
2003,Sweden,SE,43194.92617
2003,United Kingdom,GB,41173.49198
2003,United States,US,50053.6241
2004,Canada,CA,37086.4493
2004,China,CN,3061.827764
2004,Germany,DE,35019.99414
2004,France,FR,34885.84386
2004,Italy,IT,33137.1471
2004,Japan,JP,32515.1158
2004,South Korea,KR,20361.06925
2004,Sweden,SE,44891.32321
2004,United Kingdom,GB,41875.90343
2004,United States,US,51476.48879
2005,Canada,CA,38573.19977
2005,China,CN,3390.71017
2005,Germany,DE,35296.27286
2005,France,FR,35199.73432
2005,Italy,IT,33244.39755
2005,Japan,JP,33098.54747
2005,South Korea,KR,21193.35751
2005,Sweden,SE,45990.37433
2005,United Kingdom,GB,42818.61696
2005,United States,US,52796.08982
2006,Canada,CA,39776.17947
2006,China,CN,3800.759082
2006,Germany,DE,36684.6907
2006,France,FR,35811.34379
2006,Italy,IT,33738.12916
2006,Japan,JP,33531.51856
2006,South Korea,KR,22192.18512
2006,Sweden,SE,47864.81086
2006,United Kingdom,GB,43650.03394
2006,United States,US,53782.29729
2007,Canada,CA,42097.43512
2007,China,CN,4319.023769
2007,Germany,DE,37827.14217
2007,France,FR,36453.43482
2007,Italy,IT,34067.38703
2007,Japan,JP,33990.03603
2007,South Korea,KR,23360.90574
2007,Sweden,SE,49145.19583
2007,United Kingdom,GB,44333.86579
2007,United States,US,54272.71955
2008,Canada,CA,42063.63305
2008,China,CN,4711.635127
2008,Germany,DE,38262.9221
2008,France,FR,36342.70399
2008,Italy,IT,33516.87829
2008,Japan,JP,33557.6454
2008,South Korea,KR,23882.7305
2008,Sweden,SE,48544.11589
2008,United Kingdom,GB,43863.68816
2008,United States,US,53688.36514
2009,Canada,CA,40368.29204
2009,China,CN,5128.895068
2009,Germany,DE,36175.84148
2009,France,FR,35117.32352
2009,Italy,IT,31602.55897
2009,Japan,JP,31651.08377
2009,South Korea,KR,23948.47224
2009,Sweden,SE,46043.48094
2009,United Kingdom,GB,41742.22675
2009,United States,US,51869.70631
2010,Canada,CA,41155.32364
2010,China,CN,5647.058752
2010,Germany,DE,37745.73075
2010,France,FR,35625.47404
2010,Italy,IT,32045.28407
2010,Japan,JP,32942.20208
2010,South Korea,KR,25451.00416
2010,Sweden,SE,48369.91004
2010,United Kingdom,GB,42275.28835
2010,United States,US,52759.99808
2011,Canada,CA,42036.99784
2011,China,CN,6156.828596
2011,Germany,DE,39961.26765
2011,France,FR,36230.96922
2011,Italy,IT,32216.498
2011,Japan,JP,33011.13423
2011,South Korea,KR,26186.89754
2011,Sweden,SE,49539.97261
2011,United Kingdom,GB,42481.30293
2011,United States,US,53190.23112
2012,Canada,CA,42315.80739
2012,China,CN,6608.707122
2012,Germany,DE,40053.2429
2012,France,FR,36168.93936
2012,Italy,IT,31172.01976
2012,Japan,JP,33518.44494
2012,South Korea,KR,26675.44017
2012,Sweden,SE,48885.54842
2012,United Kingdom,GB,42790.3727
2012,United States,US,53989.24834
2013,Canada,CA,42846.2842
2013,China,CN,7086.874143
2013,Germany,DE,40118.87838
2013,France,FR,36190.61048
2013,Italy,IT,30245.46146
2013,Japan,JP,34239.88625
2013,South Korea,KR,27394.65031
2013,Sweden,SE,49048.81875
2013,United Kingdom,GB,43433.9477
2013,United States,US,54604.13005
2014,Canada,CA,43635.09548
2014,China,CN,7574.679931
2014,Germany,DE,40834.73633
2014,France,FR,36363.99158
2014,Italy,IT,29967.86442
2014,Japan,JP,34386.90586
2014,South Korea,KR,28094.9177
2014,Sweden,SE,49855.30101
2014,United Kingdom,GB,44349.51987
2014,United States,US,55574.35682
