Patent_Year,country,Country_Code,govt_edu_exp
2000,Canada,CA,
2000,China,CN,
2000,Germany,DE,
2000,France,FR,29.49665
2000,Italy,IT,25.58481
2000,Japan,JP,
2000,South Korea,KR,
2000,Sweden,SE,47.34424
2000,United Kingdom,GB,20.67319
2000,United States,US,
2001,Canada,CA,
2001,China,CN,
2001,Germany,DE,
2001,France,FR,
2001,Italy,IT,24.00849
2001,Japan,JP,
2001,South Korea,KR,
2001,Sweden,SE,46.49734
2001,United Kingdom,GB,20.34455
2001,United States,US,
2002,Canada,CA,
2002,China,CN,
2002,Germany,DE,
2002,France,FR,
2002,Italy,IT,25.31716
2002,Japan,JP,
2002,South Korea,KR,
2002,Sweden,SE,46.14802
2002,United Kingdom,GB,25.48431
2002,United States,US,
2003,Canada,CA,
2003,China,CN,
2003,Germany,DE,
2003,France,FR,34.20437
2003,Italy,IT,22.40146
2003,Japan,JP,
2003,South Korea,KR,
2003,Sweden,SE,42.7137
2003,United Kingdom,GB,24.79769
2003,United States,US,
2004,Canada,CA,
2004,China,CN,
2004,Germany,DE,
2004,France,FR,34.27348
2004,Italy,IT,21.60069
2004,Japan,JP,
2004,South Korea,KR,
2004,Sweden,SE,40.00729
2004,United Kingdom,GB,24.37405
2004,United States,US,
2005,Canada,CA,
2005,China,CN,
2005,Germany,DE,
2005,France,FR,33.63592
2005,Italy,IT,21.07472
2005,Japan,JP,
2005,South Korea,KR,
2005,Sweden,SE,38.13697
2005,United Kingdom,GB,29.03337
2005,United States,US,
2006,Canada,CA,
2006,China,CN,
2006,Germany,DE,
2006,France,FR,33.76937
2006,Italy,IT,22.08651
2006,Japan,JP,
2006,South Korea,KR,
2006,Sweden,SE,36.87251
2006,United Kingdom,GB,26.05054
2006,United States,US,
2007,Canada,CA,40.28518
2007,China,CN,
2007,Germany,DE,
2007,France,FR,35.15927
2007,Italy,IT,20.92153
2007,Japan,JP,
2007,South Korea,KR,
2007,Sweden,SE,36.26481
2007,United Kingdom,GB,22.14017
2007,United States,US,
2008,Canada,CA,36.35893
2008,China,CN,
2008,Germany,DE,
2008,France,FR,36.00706
2008,Italy,IT,23.56882
2008,Japan,JP,
2008,South Korea,KR,
2008,Sweden,SE,39.06096
2008,United Kingdom,GB,20.34569
2008,United States,US,
2009,Canada,CA,40.19827
2009,China,CN,
2009,Germany,DE,
2009,France,FR,38.9199
2009,Italy,IT,24.34607
2009,Japan,JP,
2009,South Korea,KR,
2009,Sweden,SE,42.34718
2009,United Kingdom,GB,18.77949
2009,United States,US,
2010,Canada,CA,44.68562
2010,China,CN,
2010,Germany,DE,
2010,France,FR,37.30938
2010,Italy,IT,24.44501
2010,Japan,JP,
2010,South Korea,KR,
2010,Sweden,SE,39.56612
2010,United Kingdom,GB,23.64564
2010,United States,US,20.83643
2011,Canada,CA,43.07659
2011,China,CN,
2011,Germany,DE,
2011,France,FR,36.36891
2011,Italy,IT,24.20626
2011,Japan,JP,
2011,South Korea,KR,
2011,Sweden,SE,38.42777
2011,United Kingdom,GB,31.421
2011,United States,US,20.04063
2012,Canada,CA,
2012,China,CN,
2012,Germany,DE,39.53355
2012,France,FR,34.06808
2012,Italy,IT,24.53473
2012,Japan,JP,
2012,South Korea,KR,
2012,Sweden,SE,42.38743
2012,United Kingdom,GB,
2012,United States,US,21.89296
2013,Canada,CA,29.65255
2013,China,CN,
2013,Germany,DE,37.25767
2013,France,FR,33.75392
2013,Italy,IT,26.27299
2013,Japan,JP,23.99086
2013,South Korea,KR,
2013,Sweden,SE,43.45347
2013,United Kingdom,GB,40.20748
2013,United States,US,20.41236
2014,Canada,CA,36.99843
2014,China,CN,
2014,Germany,DE,36.11148
2014,France,FR,33.43725
2014,Italy,IT,26.27229
2014,Japan,JP,24.36669
2014,South Korea,KR,
2014,Sweden,SE,43.82746
2014,United Kingdom,GB,41.20273
2014,United States,US,21.16585
