Patent_Year,country,Country_Code,tax_revenue
2000,Canada,CA,14.85774318
2000,China,CN,
2000,Germany,DE,11.70500073
2000,France,FR,23.39189157
2000,Italy,IT,23.80974052
2000,Japan,JP,
2000,South Korea,KR,14.26177808
2000,Sweden,SE,29.85892496
2000,United Kingdom,GB,26.09959035
2000,United States,US,12.96903235
2001,Canada,CA,14.18147981
2001,China,CN,
2001,Germany,DE,10.9616854
2001,France,FR,23.37446366
2001,Italy,IT,23.40575007
2001,Japan,JP,
2001,South Korea,KR,13.54878842
2001,Sweden,SE,27.89281277
2001,United Kingdom,GB,25.60867863
2001,United States,US,11.85782535
2002,Canada,CA,13.37762747
2002,China,CN,
2002,Germany,DE,10.83530471
2002,France,FR,22.56722859
2002,Italy,IT,22.89138772
2002,Japan,JP,
2002,South Korea,KR,13.24866679
2002,Sweden,SE,26.76316689
2002,United Kingdom,GB,24.91733427
2002,United States,US,9.861419855
2003,Canada,CA,13.22893471
2003,China,CN,
2003,Germany,DE,10.99852141
2003,France,FR,22.11697552
2003,Italy,IT,22.76357266
2003,Japan,JP,
2003,South Korea,KR,13.69345757
2003,Sweden,SE,26.89448063
2003,United Kingdom,GB,24.49875791
2003,United States,US,9.389222393
2004,Canada,CA,13.34474787
2004,China,CN,
2004,Germany,DE,10.42629457
2004,France,FR,22.1629571
2004,Italy,IT,22.21584927
2004,Japan,JP,
2004,South Korea,KR,12.96682783
2004,Sweden,SE,27.25350276
2004,United Kingdom,GB,25.11719503
2004,United States,US,9.540177991
2005,Canada,CA,13.29949289
2005,China,CN,8.569243858
2005,Germany,DE,10.6568166
2005,France,FR,22.29548022
2005,Italy,IT,21.95930961
2005,Japan,JP,
2005,South Korea,KR,13.31307044
2005,Sweden,SE,28.55686546
2005,United Kingdom,GB,25.44618106
2005,United States,US,10.68382785
2006,Canada,CA,13.34822067
2006,China,CN,9.057253983
2006,Germany,DE,10.85162762
2006,France,FR,22.57780885
2006,Italy,IT,23.32782117
2006,Japan,JP,
2006,South Korea,KR,13.72753521
2006,Sweden,SE,28.56030814
2006,United Kingdom,GB,25.65188302
2006,United States,US,11.31127437
2007,Canada,CA,13.33443201
2007,China,CN,9.771406065
2007,Germany,DE,11.33404013
2007,France,FR,22.12201755
2007,Italy,IT,23.76334792
2007,Japan,JP,
2007,South Korea,KR,14.8173827
2007,Sweden,SE,28.50704068
2007,United Kingdom,GB,25.82278563
2007,United States,US,11.30738778
2008,Canada,CA,12.3901656
2008,China,CN,10.10142653
2008,Germany,DE,11.47230109
2008,France,FR,22.00523996
2008,Italy,IT,23.48996403
2008,Japan,JP,
2008,South Korea,KR,14.49519999
2008,Sweden,SE,27.47193716
2008,United Kingdom,GB,26.34010778
2008,United States,US,10.31601226
2009,Canada,CA,12.30438595
2009,China,CN,10.30944174
2009,Germany,DE,11.61493705
2009,France,FR,20.70142768
2009,Italy,IT,23.74294495
2009,Japan,JP,
2009,South Korea,KR,13.65096445
2009,Sweden,SE,27.23353846
2009,United Kingdom,GB,24.0190223
2009,United States,US,7.919453277
2010,Canada,CA,11.7328093
2010,China,CN,10.21204861
2010,Germany,DE,11.19029793
2010,France,FR,21.95265949
2010,Italy,IT,23.68062299
2010,Japan,JP,
2010,South Korea,KR,13.43693029
2010,Sweden,SE,27.39951886
2010,United Kingdom,GB,25.19782036
2010,United States,US,8.595732842
2011,Canada,CA,11.80392128
2011,China,CN,10.31279489
2011,Germany,DE,11.48138523
2011,France,FR,21.81649646
2011,Italy,IT,23.64758929
2011,Japan,JP,
2011,South Korea,KR,13.85096763
2011,Sweden,SE,26.6327334
2011,United Kingdom,GB,25.69312295
2011,United States,US,9.574003765
2012,Canada,CA,11.66442736
2012,China,CN,10.25676868
2012,Germany,DE,11.62298611
2012,France,FR,22.53074008
2012,Italy,IT,24.94682979
2012,Japan,JP,
2012,South Korea,KR,14.0775915
2012,Sweden,SE,26.30391073
2012,United Kingdom,GB,24.93930653
2012,United States,US,9.798255726
2013,Canada,CA,11.6235046
2013,China,CN,9.907732583
2013,Germany,DE,11.61150337
2013,France,FR,23.21091787
2013,Italy,IT,25.13890393
2013,Japan,JP,
2013,South Korea,KR,13.63062344
2013,Sweden,SE,26.46754063
2013,United Kingdom,GB,24.91680864
2013,United States,US,10.51994855
2014,Canada,CA,11.80837908
2014,China,CN,9.678618827
2014,Germany,DE,11.4825632
2014,France,FR,23.16141532
2014,Italy,IT,24.84107219
2014,Japan,JP,
2014,South Korea,KR,13.24116166
2014,Sweden,SE,26.51489081
2014,United Kingdom,GB,24.70277087
2014,United States,US,10.94785005
